Player,Team,Affiliation,Year,"Round
 Number","Round
 Pick","Overall
 Pick"
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> John Green <!---->","<a ng-href=""/stats/team/1610612746/"" href=""/stats/team/1610612746/"">Buffalo Braves",Oregon,1973,16,2,200
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Leonard Jackson <!---->","<a ng-href=""/stats/team/1610612745/"" href=""/stats/team/1610612745/"">Houston Rockets",Oregon,1971,16,3,227
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Gary Williams <!---->","<a ng-href=""/stats/team/1610612764/"" href=""/stats/team/1610612764/"">Baltimore Bullets",Oklahoma,1967,16,1,153
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Bunk Adams <!---->","<a ng-href=""/stats/team/1610612764/"" href=""/stats/team/1610612764/"">Baltimore Bullets",Ohio,1965,16,1,105
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Gene Jordan <!---->","<a ng-href=""/stats/team/1610612758/"" href=""/stats/team/1610612758/"">Cincinnati Royals",Northwest Missouri State,1960,16,1,92
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Don Rather <!---->","<a ng-href=""/stats/team/1610612764/"" href=""/stats/team/1610612764/"">Baltimore Bullets",Northern Arizona,1970,16,7,229
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Mike Peterson <!---->","<a ng-href=""/stats/team/1610612758/"" href=""/stats/team/1610612758/"">Kansas City-Omaha Kings",Nebraska,1972,16,3,195
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> John Vermelyea <!---->","<a ng-href=""/stats/team/1610612758/"" href=""/stats/team/1610612758/"">Cincinnati Royals",Morningside,1967,16,3,155
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Danny Cornett <!---->","<a ng-href=""/stats/team/1610612760/"" href=""/stats/team/1610612760/"">Seattle SuperSonics",Morehead State,1969,16,3,197
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Charles Hall <!---->","<a ng-href=""/stats/team/1610612741/"" href=""/stats/team/1610612741/"">Chicago Bulls",Montana Western,1972,16,4,196
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Chuck Caldwell <!---->","<a ng-href=""/stats/team/1610612745/"" href=""/stats/team/1610612745/"">San Diego Rockets",Missouri-St. Louis,1968,16,1,190
